Username,Description
freeCodeCamp,The https://freeCodeCamp.com open source codebase and curriculum. Learn to code and help nonprofits.
twbs,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
EbookFoundation, Freely available programming books
facebook,"A declarative, efficient, and flexible JavaScript library for building user interfaces."
d3,"Bring data to life with SVG, Canvas and HTML. "
getify,A book series on JavaScript. @YDKJS on twitter.
tensorflow,Computation using data flow graphs for scalable machine learning
sindresorhus, Curated list of awesome lists
vuejs,"A progressive, incrementally-adoptable JavaScript framework for building UI on the web."
angular,AngularJS - HTML enhanced for web apps!
robbyrussell,"A delightful community-driven (with 1,000+ contributors) framework for managing your zsh configuration. Includes 200+"
airbnb,JavaScript Style Guide
github,A collection of useful .gitignore templates
FortAwesome,The iconic font and CSS toolkit
facebook,A framework for building native apps with React.
electron,"Build cross platform desktop apps with JavaScript, HTML, and CSS"
torvalds,Linux kernel source tree
jquery,jQuery JavaScript Library
jwasham,A complete computer science study plan to become a software engineer.
moby,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems
daneden, A cross-browser library of CSS animations. As easy to use as an easy thing.
apple,The Swift Programming Language
atom,The hackable text editor
meteor,"Meteor, the JavaScript App Platform"
h5bp,"A professional front-end template for building fast, robust, and adaptable web apps or sites."
nodejs,Node.js JavaScript runtime 
nodejs,Moved to https://github.com/nodejs/node
rails,Ruby on Rails
Semantic-Org,Semantic is a UI component framework based around useful principles from natural language.
vinta,"A curated list of awesome Python frameworks, libraries, software and resources"
hakimel,The HTML Presentation Framework
socketio,Realtime application framework (Node.JS server)
mrdoob,JavaScript 3D library.
laravel,A PHP Framework For Web Artisans
expressjs,"Fast, unopinionated, minimalist web framework for node."
reactjs,Predictable state container for JavaScript apps
moment,"Parse, validate, manipulate, and display dates in javascript."
impress,It's a presentation framework based on the power of CSS3 transforms and transitions in modern browsers and inspired b
nwjs,Call all Node.js modules directly from DOM/WebWorker and enable a new way of writing applications with all Web techno
jlevy,"Master the command line, in one page"
chartjs,Simple HTML5 Charts using the <canvas> tag
google,Material Design icons by Google
jakubroztocil,"Modern command line HTTP client  user-friendly curl alternative with intuitive UI, JSON support, syntax highlighting"
ionic-team,Build amazing native and progressive web apps with open web technologies. One app running on everything 
jekyll," Jekyll is a blog-aware, static site generator in Ruby"
Microsoft,Visual Studio Code
webpack,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows to load par
resume,Resumes generated using the GitHub informations
AFNetworking,"A delightful networking framework for iOS, OS X, watchOS, and tvOS."
golang,The Go programming language
facebookincubator,Create React apps with no build configuration.
Homebrew, The former home of Homebrew
nvbn,Magnificent app which corrects your previous console command.
h5bp,"A list of helpful front-end related questions you can use to interview potential candidates, test yourself or complet"
pallets,"A microframework based on Werkzeug, Jinja2 and good intentions"
NARKOZ,Based on a true story
google,Material Design Components in HTML/CSS/JS
adobe,"An open source code editor for the web, written in JavaScript, HTML and CSS."
Dogfalo,"Materialize, a CSS Framework based on Material Design"
blueimp,"File Upload widget with multiple file selection, drag&drop support, progress bar, validation and preview images, audi"
rg3,Command-line program to download videos from YouTube.com and other video sites
necolas,A collection of HTML element and attribute style-normalizations
gulpjs,The streaming build system
callemall,React Components that Implement Google's Material Design.
jashkenas,"Give your JS App some Backbone with Models, Views, Collections, and Events"
django,The Web framework for perfectionists with deadlines.
yarnpkg," Fast, reliable, and secure dependency management."
requests,Python HTTP Requests for Humans 
zurb,The most advanced responsive front-end framework in the world. Quickly create prototypes and production code for site
angular,One framework. Mobile & desktop.
ReactiveX,RxJava  Reactive Extensions for the JVM  a library for composing asynchronous and event-based programs using observ
chrislgarry,Original Apollo 11 Guidance Computer (AGC) source code for the command and lunar modules.
kubernetes,Production-Grade Container Scheduling and Management
lodash,"A modern JavaScript utility library delivering modularity, performance, & extras."
Alamofire,Elegant HTTP Networking in Swift
antirez,"Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values "
wasabeef,A curated list of awesome Android UI/UX libraries
ansible,Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy. Avoid
getlantern,Lantern Latest Download https://github.com/getlantern/lantern/releases/tag/latest  https://github.com/getl
josephmisiti,"A curated list of awesome Machine Learning frameworks, libraries and software."
kamranahmedse,Roadmap to becoming a web developer in 2017
papers-we-love,Papers from the computer science community to read and discuss.
elastic,"Open Source, Distributed, RESTful Search Engine"
Trinea,A categorized collection of Android Open Source Projects : codekk
neovim,Vim-fork focused on extensibility and usability.
Microsoft,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.
nylas, An extensible desktop mail app built on the modern web. Forks welcome!
ReactTraining,Declarative routing for React
TryGhost,"A simple, powerful publishing platform"
johnpapa,Angular Style Guide: A starting point for Angular development teams to provide consistency through good practices.
typicode,Get a full fake REST API with zero coding in less than 30 seconds (seriously)
ariya,Scriptable Headless WebKit
open-source-society, Path to a free self-taught education in Computer Science!
tiimgreen,A list of cool features of Git and GitHub.
rust-lang,"A safe, concurrent, practical language."
square,"Type-safe HTTP client for Android and Java by Square, Inc."
discourse,"A platform for community discussion. Free, open, simple."
firehol,Get control of your servers. Simple. Effective. Awesome! https://my-netdata.io/
dypsilon,Manually curated collection of resources for frontend web developers.
mzabriskie,Promise based HTTP client for the browser and node.js
avelino,"A curated list of awesome Go frameworks, libraries and software"
caolan,Async utilities for node and the browser
babel, Babel is a compiler for writing next generation JavaScript.
tastejs,"Helping you select an MV* framework - Todo apps for Backbone.js, Ember.js, AngularJS, and many more"
minimaxir,The Big List of Naughty Strings is a list of strings which have a high probability of causing issues when used as use
scrapy,"Scrapy, a fast high-level web crawling & scraping framework for Python."
jashkenas,JavaScript's utility _ belt
harvesthq,"Chosen is a library for making long, unwieldy select boxes more friendly."
lukehoban,Overview of ECMAScript 6 features
Modernizr,Modernizr is a JavaScript library that detects HTML5 and CSS3 features in the users browser.
square,An HTTP+HTTP/2 client for Android and Java applications.
select2,"Select2 is a jQuery based replacement for select boxes. It supports searching, remote data sets, and infinite scrolli"
vsouza,"A curated list of awesome iOS ecosystem, including Objective-C and Swift Projects"
adam-p,"Google Chrome, Firefox, and Thunderbird extension that lets you write email in Markdown and render it before sending."
sahat,A boilerplate for Node.js web applications
enaqx,A collection of awesome things regarding React ecosystem.
creationix,Node Version Manager - Simple bash script to manage multiple active node.js versions
iluwatar,Design patterns implemented in Java
prakhar1989, List of awesome university courses for learning Computer Science!
gogits,Gogs is a painless self-hosted Git service.
Unitech,Production process manager for Node.js apps with a built-in load balancer.
alvarotrigo,fullPage plugin by Alvaro Trigo. Create full screen pages fast and simple
gitlabhq,GitLab CE | Please open new issues in our issue tracker on GitLab.com
karan, A list of practical projects that anyone can solve in any programming language.
scikit-learn,scikit-learn: machine learning in Python
googlesamples,A collection of samples to discuss and showcase different architectural tools and patterns for Android apps.
facebook,Immutable persistent data collections for Javascript which increase efficiency and simplicity.
rethinkdb,The open-source database for the realtime web.
caesar0301,"An awesome list of high-quality open datasets in public domains (on-going). By everyone, for everyone!"
joshbuchea,A list of everything that could go in the <head> of your document
bayandin,A curated list of awesome awesomeness
certbot,"Certbot, previously the Let's Encrypt Client, is EFF's tool to obtain certs from Let's Encrypt, and (optionally) auto"
toddmotto,A collective list of public JSON APIs for use in web development.
Leaflet, JavaScript library for mobile-friendly interactive maps
ecomfe,"A powerful, interactive charting and visualization library for browser"
BVLC,Caffe: a fast open framework for deep learning.
kenwheeler,the last carousel you'll ever need
codepath,Extensive Open-Source Guides for Android Developers
mozilla,PDF Reader in JavaScript
FezVrasta,Material design theme for Bootstrap 3 and 4
shadowsocks,"Updated Jun 24, 2017"
google,Protocol Buffers - Google's data interchange format
git,Git Source Code Mirror - This is a publish-only repository and all pull requests are ignored. Please follow Documenta
gohugoio,A Fast and Flexible Static Site Generator built with love in GoLang.
emberjs,Ember.js - A JavaScript framework for creating ambitious web applications
rs,Asynchronous image downloader with cache support as a UIImageView category
Polymer,Build modern apps using web components
zenorocha, Modern copy to clipboard. No Flash. Just 3kb gzipped 
facebook,"An extensible iOS and OS X animation library, useful for physics-based interactions."
sindresorhus, Delightful Node.js packages and resources
tensorflow,Models built with TensorFlow
nvie,Git extensions to provide high-level repository operations for Vincent Driessen's branching model.
donnemartin,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.
zeit,A terminal built on web technologies
vuejs,A curated list of awesome things related to Vue.js
ReactiveCocoa,Streams of values over time
serverless,"Serverless Framework  Build web, mobile and IoT applications with serverless architectures using AWS Lambda, Azure F"
balderdashy,Realtime MVC Framework for Node.js
plataformatec,Flexible authentication solution for Rails with Warden.
kamranahmedse,Design Patterns for Humans - An ultra-simplified explanation
Prinzhorn,Stand-alone parallax scrolling library for mobile (Android + iOS) and desktop. No jQuery. Just plain JavaScript (and 
open-guides, Amazon Web Services  a practical guide
google,Google Core Libraries for Java
herrbischoff,Use your OS X terminal shell to do awesome things.
almasaeed2010,AdminLTE - Free Premium Admin control Panel Theme Based On Bootstrap 3.x
numbbbbb, Apple  Swift The Swift Programming Language
yahoo,"A set of small, responsive CSS modules that you can use in every web project."
mathiasbynens," .files, including ~/.macos  sensible hacker defaults for macOS"
IanLunn,"A collection of CSS3 powered hover effects to be applied to links, buttons, logos, SVG, featured images and so on. Ea"
fchollet,"Deep Learning library for Python. Runs on TensorFlow, Theano, or CNTK."
hexojs,"A fast, simple & powerful blog framework, powered by Node.js."
JakeWharton,Bind Android views and callbacks to fields and methods.
videojs,Video.js - open source HTML5 & Flash video player
google,Web Starter Kit - a workflow for multi-device websites
FallibleInc,Security Guide for Developers ()
fastlane, The easiest way to automate building and releasing your iOS and Android apps
astaxie,A golang ebook intro how to build a web with golang
grafana,"The tool for beautiful monitoring and metric analytics & dashboards for Graphite, InfluxDB & Prometheus & More"
Reactive-Extensions,The Reactive Extensions for JavaScript
jgthms,Modern CSS framework based on Flexbox
huginn,Create agents that monitor and act on your behalf. Your agents are standing by!
hammerjs,A javascript library for multi-touch gestures :// You can touch this
opencv,Open Source Computer Vision Library
PhilJay,"A powerful Android chart view / graph view library, supporting line- bar- pie- radar- bubble- and candlestick charts "
syncthing,Open Source Continuous File Synchronization
Kickball,This is a list of Free Software network services and web applications which can be hosted locally. Selfhosting is the
railsware,A terminal emulator for the 21st century.
bumptech,An image loading and caching library for Android focused on smooth scrolling
bevacqua, Drag and drop so simple it hurts
t4t5,"A beautiful replacement for JavaScript's ""alert"""
koajs,Expressive middleware for node.js using ES2017 async functions
ripienaar,"A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev"
request, Simplified HTTP request client.
BradLarson,An open source iOS framework for GPU-based image and video processing
sdmg15, Some useful websites for programmers.
ziadoz,"A curated list of amazingly awesome PHP libraries, resources and shiny things."
square,A memory leak detection library for Android and Java.
angular,Material design for AngularJS
GitbookIO, Modern documentation format and toolchain using Git and Markdown
photonstorm,"Phaser is a fun, free and fast 2D game framework for making HTML5 games for desktop and mobile web browsers, supporti"
JetBrains,The Kotlin Programming Language
SamyPesse,How to Make a Computer Operating System in C++
verekia, Step-by-step tutorial to build a modern JavaScript stack.
usablica,A better way for new feature introduction and step-by-step users guide for your website and project.
nostra13,"Powerful and flexible library for loading, caching and displaying images on Android."
ZuzooVn,A complete daily plan for studying to become a machine learning engineer.
MaximAbramchuck,A curated awesome list of lists of interview questions. Feel free to contribute! 
postcss,Transforming styles with JS plugins
bower,A package manager for the web
VundleVim,"Vundle, the plug-in manager for Vim"
Tencent,"A UI library by WeChat official design team, includes the most useful widgets/modules in mobile web applications."
defunkt,pushState + ajax = pjax
kahun,A curated list of amazingly awesome open source sysadmin resources inspired by Awesome PHP.
SnapKit,"Harness the power of AutoLayout NSLayoutConstraints with a simplified, chainable and expressive syntax. Supports iOS "
greenrobot,"Android optimized event bus that simplifies communication between Activities, Fragments, Threads, Services, etc. Less"
XX-net,a web proxy tool
pixijs,Super fast HTML 5 2D rendering engine that uses webGL with canvas fallback
danielgindi,Beautiful charts for iOS/tvOS/OSX! The Apple side of the crossplatform MPAndroidChart.
ftlabs,Polyfill to remove click delays on browsers with touch UIs
less,Less. The dynamic stylesheet language.
petkaantonov,  Bluebird is a full featured promise library with unmatched performance.
mitchellh,Vagrant is a tool for building and distributing development environments.
SwiftyJSON,The better way to deal with JSON data in Swift
ryanmcdermott, Clean Code concepts adapted for JavaScript
symfony,The Symfony PHP framework
github,A window.fetch JavaScript polyfill.
ant-design, A UI Design Language
ApacheInfra,"Apache Superset (incubating) is a modern, enterprise-ready business intelligence web application"
lord,Beautiful static documentation for your API
pugjs,"Pug  robust, elegant, feature rich template engine for Node.js"
spring-projects,The Spring Framework
bcit-ci,Open Source PHP Framework (originally from EllisLab)
facebook,A virtual machine designed for executing programs written in Hack and PHP.
alex,"An attempt to answer the age old interview question ""What happens when you type google.com into your browser and pres"
0xAX,A little bit about a linux kernel
kriasoft,"React Starter Kit  isomorphic web app boilerplate (Node.js, Express, GraphQL, React.js, Babel, PostCSS, Webpack, Bro"
alibaba,A framework for building Mobile cross-platform UI
zeit,Framework for server-rendered React apps
tonsky,Monospaced font with programming ligatures
twitter,typeahead.js is a fast and fully-featured autocomplete library
react-boilerplate," A highly scalable, offline-first foundation with the best developer experience and a focus on performance and best"
angular-ui,"Native AngularJS (Angular) directives for Bootstrap. Smaller footprint (20kB gzipped), no 3rd party JS dependencies ("
dhg,"Skeleton: A Dead Simple, Responsive Boilerplate for Mobile-Friendly Development"
FreeCodeCampChina,CodeIssuesPull requestsWiki^_^
dimsemenov,"JavaScript image gallery for mobile and desktop, modular, framework independent"
futurice,"Do's and Don'ts for Android development, by Futurice developers"
Valloric,A code-completion engine for Vim
zxing,"Official ZXing (""Zebra Crossing"") project home"
isocpp,"The C++ Core Guidelines are a set of tried-and-true guidelines, rules, and best practices about coding in C++"
jashkenas,Unfancy JavaScript
jcjohnson,Torch implementation of neural style algorithm
facebook,Application Architecture for Building User Interfaces
ElemeFE,A Vue.js 2.0 UI Toolkit for Web
racaljk,google hosts
twbs,"Build mobile apps with simple HTML, CSS, and JavaScript components."
quilljs,"Your powerful, rich text editor"
coreos,Distributed reliable key-value store for the most critical data of a distributed system
Bilibili,"Android/iOS video player based on FFmpeg n3.3, with MediaCodec, VideoToolbox support."
rstacruz,"For slim progress bars like on YouTube, Medium, etc"
dokku,A docker-powered PaaS that helps you build and manage the lifecycle of applications
bitcoin,Bitcoin Core integration/staging tree
webtorrent, Streaming torrent client for the web
tornadoweb,"Tornado is a Python web framework and asynchronous networking library, originally developed at FriendFeed."
square,A powerful image downloading and caching library for Android
parse-community,Parse-compatible API server module for Node/Express
dkhamsing, Collaborative List of Open-Source iOS Apps
spring-projects,Spring Boot
airbnb,Render After Effects animations natively on Android and iOS
google,The Google I/O 2016 Android App
limetext,Open source API-compatible alternative to the text editor Sublime Text
soimort, Dumb downloader that scrapes the web
jdg,MBProgressHUD + Customizations
kriskowal,A promise library for JavaScript
tobiasahlin,A collection of loading indicators animated with CSS
jaywcjlove, This repo is a collection of awesome Mac applications and tools for developers and designers.
reddit,the code that powers reddit.com
angular-ui,The de-facto solution to flexible routing with nested views in AngularJS
jondot,"Awesome React Native components, news, tools, and learning material!"
apache,Mirror of Apache Spark
Thibaut,API Documentation Browser
chjj,A markdown parser and compiler. Built for speed.
knsv,Generation of diagram and flowchart from text in a similar manner as markdown
juliangarnier,JavaScript Animation Engine
designmodo,"Flat UI Free - Design Framework (html/css3/less/js). Flat UI is based on Bootstrap, a comfortable, responsive, and fu"
julianshapiro,Accelerated JavaScript animation.
akullpp,"A curated list of awesome frameworks, libraries and software for the Java programming language."
raywenderlich,"Algorithms and data structures in Swift, with explanations!"
postcss,Parse CSS and add vendor prefixes to rules by Can I Use
getsentry,Sentry is a cross-platform crash reporting and aggregation platform.
angular,Seed project for angular apps.
npm,a package manager for javascript
facebook,An Android library for managing images and the memory they use.
hubotio,A customizable life embetterment robot.
domnikl,sample code for several design patterns in PHP
ReactiveX,RxJava bindings for Android
rwaldron,"Principles of Writing Consistent, Idiomatic JavaScript"
mholt,"Fast, cross-platform HTTP/2 web server with automatic HTTPS"
nolimits4web,Most modern mobile touch slider with hardware accelerated transitions
madrobby,"Zepto.js is a minimalist JavaScript library for modern browsers, with a jQuery-compatible API"
mochajs," simple, flexible, fun javascript test framework for node.js & the browser"
Automattic,MongoDB object modeling designed to work in an asynchronous environment.
wg,Modern HTTP benchmarking tool
ggreer,"A code-searching tool similar to ack, but faster."
jlmakes,Easy scroll animations for web and mobile browsers.
jasmine,Simple JavaScript testing framework for browsers and node.js
cheeriojs,"Fast, flexible, and lean implementation of core jQuery designed specifically for the server."
bbatsov,A community-driven Ruby coding style guide
enyo,Dropzone is an easy to use drag'n'drop library. It supports image previews and shows nice progress bars.
CamDavidsonPilon,"aka ""Bayesian Methods for Hackers"": An introduction to Bayesian methods + probabilistic programming with a computatio"
segmentio,A high-level browser automation library.
RocketChat,"Have your own Slack like online chat, built with Meteor."
kripken,Emscripten: An LLVM-to-JavaScript Compiler
ruby,The Ruby Programming Language
interagent,HTTP API design guide extracted from work on the Heroku Platform API
facebook,Adds static typing to JavaScript to improve developer productivity and code quality.
matteocrippa,A collaborative list of awesome swift resources. Feel free to contribute!
standard," JavaScript Style Guide, with linter & automatic code fixer"
braydie,A guide on how to be a Programmer - originally published by Robert L Read
php,The PHP Interpreter
songrotek,Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!
fouber,starwatchfork
twbs,Official Sass port of Bootstrap 2 and 3.
HubSpot,Automatically add a progress bar to your site. #hubspot-open-source
wycats,"Updated May 31, 2017"
syl20bnr,"A community-driven Emacs distribution - The best editor is neither Emacs nor Vim, it's Emacs *and* Vim!"
riot,Simple and elegant component-based UI library
codemirror,In-browser code editor
dotnet,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file sys"
aymericdamien,TensorFlow Tutorial and Examples for beginners
ipader,Swifthttp://dev.swiftguide.cn
desandro, Cascading grid layout library
naptha,Pure Javascript OCR for 62 Languages 
libgdx,Desktop/Android/HTML5/iOS Java game development framework
PerfectlySoft,"Server-side Swift. The Perfect core toolset and framework for Swift Developers. (For mobile back-end development, web"
mongodb,The MongoDB Database
legomushroom,motion graphics toolbelt for the web
faif,A collection of design patterns/idioms in Python
kennethreitz,"Python best practices guidebook, written for Humans."
prettier,Prettier is an opinionated code formatter.
kilimchoi,A curated list of engineering blogs
facebookarchive,Smooth asynchronous user interfaces for iOS apps.
ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website, docu"
ccgus,A Cocoa / Objective-C wrapper around SQLite
MostlyAdequate,Mostly adequate guide to FP (in javascript)
wagerfield,Parallax Engine that reacts to the orientation of a smart device
etsy,Daemon for easy but powerful stats aggregation
storybooks, Interactive development & testing environment for React and React-Native UI components
Microsoft,"Microsoft Cognitive Toolkit (CNTK), an open source deep-learning toolkit"
oneuijs,"Examples of how to do query, style, dom, ajax, event etc like jQuery with plain javascript."
gruntjs,Grunt: The JavaScript Task Runner
node-inspector,Node.js debugger based on Blink Developer Tools
drduh,A practical guide to securing macOS.
sindresorhus,Useful resources for creating apps with Electron
puikinsh,Free Bootstrap 3 Admin Template
astaxie,"beego is an open-source, high-performance web framework for the Go programming language."
textmate,TextMate is a graphical text editor for OS X 10.9+
altercation,"precision color scheme for multiple applications (terminal, vim, etc.) with both dark/light modes"
diaspora,"A privacy-aware, distributed, open source social network."
bolshchikov,Must-watch videos about javascript
tesseract-ocr,Tesseract Open Source OCR Engine (main repository)
DefinitelyTyped,The repository for high quality TypeScript type definitions.
caskroom,A CLI workflow for the administration of Mac applications distributed as binaries
ionic-team,The premium icon font for Ionic
remy,Monitor for any changes in your node.js application and automatically restart the server - perfect for development
fzaninotto,Faker is a PHP library that generates fake data for you
substack,browser-side require() the node.js way
jiahaog,Make any web page a desktop application
h5bp,A Performant Transitions and Animations Library
adobe-fonts,Monospaced font family for user interface and coding environments
scottjehl,"A fast & lightweight polyfill for min/max-width CSS3 Media Queries (for IE 6-8, and more)"
terryum,The most cited deep learning papers
realm,Realm is a mobile database: a replacement for Core Data & SQLite
influxdata,"Scalable datastore for metrics, events, and real-time analytics"
MengTo,A library to simplify iOS animations in Swift.
github,hub helps you win at git.
Shopify,The exceptionally handsome dashboard framework in Ruby and Coffeescript.
janl,Minimal templating with {{mustaches}} in JavaScript
jaredhanson,"Simple, unobtrusive authentication for Node.js."
jmcunningham,"A bunch of links to blog posts, articles, videos, etc for learning AngularJS"
facebook, Delightful JavaScript Testing.
julycoding,/
visionmedia,Ajax with less suck - (and node.js HTTP client to match)
chriskempson,Tomorrow Theme the precursor to Base16 Theme
requirejs,A file and module loader for JavaScript
shadowsocks,"If you want to keep a secret, you must also hide it from yourself."
cmderdev,Lovely console emulator package for Windows
yabwe,Medium.com WYSIWYG editor clone. Uses contenteditable API to implement a rich text solution.
Mashape, The Microservice API Gateway
mattermost,Open source Slack-alternative in Golang and React - Mattermost
Mantle,Model framework for Cocoa and Cocoa Touch
jessesquires,An elegant messages UI library for iOS
cockroachdb,"CockroachDB - the open source, cloud-native SQL database."
spf13,The ultimate vim distribution
angular,CLI tool for Angular
Marak,generate massive amounts of fake data in Node.js and the browser
CoderMJLee,An easy way to use pull-to-refresh.
avajs, Futuristic JavaScript test runner
jfeinstein10,An Android library that allows you to easily create applications with slide-in menus. You may use it in your Android 
developit, Fast 3kb React alternative with the same ES6 API. Components & Virtual DOM.
git-tips,Most commonly used git tips and tricks.
NativeScript,"NativeScript is an open source framework for building truly native mobile apps with JavaScript. Use web skills, like "
inconshreveable,Introspected tunnels to localhost
donnemartin,Huge update! Interactive Python coding interview challenges (algorithms and data structures). Includes Anki flashcards.
loverajoel,This is about useful JS tips!
RubaXa,Sortable  is a JavaScript library for reorderable drag-and-drop lists on modern browsers and touch devices. No jQuer
cocos2d,"Cocos2d-x is a suite of open-source, cross-platform, game-development tools used by millions of developers all over t"
gin-gonic,Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up
infernojs,"An extremely fast, React-like JavaScript library for building modern user interfaces"
chrisbanes,"Implementation of ImageView for Android that supports zooming, by various touch gestures."
yiisoft,"Yii 2: The Fast, Secure and Professional PHP Framework"
magicalpanda,Super Awesome Easy Fetching for Core Data 1!!!11!!!!1!
netty,Netty project - an event-driven asynchronous network application framework
substack,how to write node programs with streams
JacksonTian, Frontend Knowledge Structure
elixir-lang,"Elixir is a dynamic, functional language designed for building scalable and maintainable applications"
wsargent,Docker Cheat Sheet
jquery,jQuery Mobile Framework
vapor,A server-side Swift web framework.
Netflix,"Hystrix is a latency and fault tolerance library designed to isolate points of access to remote systems, services and"
SnapKit,A Swift Autolayout DSL for iOS & OS X
drone,"Drone is a Continuous Delivery platform built on Docker, written in Go"
jquery,The official jQuery user interface library.
nolimits4web,Full featured HTML framework for building iOS & Android apps
sass,Sass makes CSS fun again.
gatsbyjs, Blazing fast React.js static site generator
adobe-webplatform,The JavaScript library for modern SVG graphics.
philipwalton,"A showcase of problems once hard or impossible to solve with CSS alone, now made trivially easy with Flexbox."
octocat,This repo is for demonstration purposes only.
alcatraz,Package manager for Xcode
pandas-dev,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R"
VerbalExpressions,JavaScript Regular expressions made easy
fbsamples,"Source code of the official F8 app of 2016, powered by React Native and other Facebook open source projects."
google,Perceptual JPEG encoder
bang590,JSPatch bridge Objective-C and Javascript using the Objective-C runtime. You can call any Objective-C class and metho
wekan,The open-source Trello-like kanban (built with Meteor)
erikras,"A starter boilerplate for a universal webapp using express, react, redux, webpack, and react-transform"
docker,Define and run multi-container applications with Docker
jlund,"Streisand sets up a new server running L2TP/IPsec, OpenConnect, OpenSSH, OpenVPN, Shadowsocks, sslh, Stunnel, a Tor b"
loopj,An Asynchronous HTTP Library for Android
google,Style guides for Google-originated open-source projects
xdissent,Automated installation of the Microsoft IE App Compat virtual machines
selectize,Selectize is the hybrid of a textbox and <select> box. It's jQuery based and it has autocomplete and native-feeling k
amazeui,"Amaze UI, a mobile-first and modular front-end framework."
SVProgressHUD,A clean and lightweight progress HUD for your iOS and tvOS app.
uikit,A lightweight and modular front-end framework for developing fast and powerful web interfaces
phanan,A collection of useful .htaccess snippets.
browserstate,"History.js gracefully supports the HTML5 History/State APIs (pushState, replaceState, onPopState) in all browsers. In"
uxsolutions,A datepicker for twitter bootstrap (@twbs)
foreverjs,A simple CLI tool for ensuring that a given script runs continuously (i.e. forever)
phoenixframework,Productive. Reliable. Fast.
airbnb,JavaScript Testing utilities for React
kdn251,Everything you need to know to get the job.
facebookresearch,Library for fast text representation and classification.
jwagner,Content aware image cropping
addyosmani, A creative-commons book on Backbone.js for beginners and advanced users alike
marcuswestin,Cross-browser storage for all use cases  Used across the web  See below for v2.0 news!
benweet,In-browser markdown editor
yaronn,Build terminal dashboards using ascii/ansi art and javascript
ReactiveX,Reactive Programming in Swift
rollup,Next-generation ES6 module bundler
google,LevelDB is a fast key-value storage library written at Google that provides an ordered mapping from string keys to st
aurelia,The aurelia framework brings together all the required core aurelia libraries into a ready-to-go application-building
alebcay,"A curated list of awesome command-line frameworks, toolkits, guides and gizmos. Inspired by awesome-php."
mobxjs,"Simple, scalable state management."
DrkSephy,"ES2015 [ES6] cheatsheet containing tips, tricks, best practices and code snippets"
LightTable,The Light Table IDE
Carthage,"A simple, decentralized dependency manager for Cocoa"
facebook,"Prepack is a partial evaluator for JavaScript. Prepack rewrites a JavaScript bundle, resulting in JavaScript code tha"
capistrano,Remote multi-server automation tool
cubiq,Smooth scrolling for the web
Developer-Y,List of Computer Science courses with video lectures.
nsqio,A realtime distributed messaging platform
gionkunz,Simple responsive charts
AllThingsSmitty,A collection of tips to help take your CSS skills pro
servo,The Servo Browser Engine
imathis,Octopress is an obsessively designed framework for Jekyll blogging. Its easy to configure and easy to deploy. Sweet 
tootsuite,A GNU Social-compatible microblogging server
tldr-pages, Simplified and community-driven man pages
